device,timestamp,Feature_Value_0,Feature_Value_1,Feature_Value_2,Feature_Value_3,Feature_Value_4,Feature_Value_5
88:4A:EA:69:42:9B,2017-03-15 07:00:50.870000128,94.24,94.29,94.29,94.22,94.18,47.73
88:4A:EA:69:43:8A,2017-03-15 07:00:51.020000000,97.66,97.67,97.71,97.63,97.63,34.19
88:4A:EA:69:E1:72,2017-03-15 07:00:51.329999872,955.17,7.66,4.34,2.01,51.83,211.0
88:4A:EA:69:42:9B,2017-03-15 07:00:51.390000128,94.22,94.19,94.43,94.04,94.22,47.36
88:4A:EA:69:43:8A,2017-03-15 07:00:51.540000000,97.6,97.68,97.61,97.58,97.51,34.08
88:4A:EA:69:42:9B,2017-03-15 07:00:51.910000128,94.24,94.42,94.1,94.42,94.04,48.07
88:4A:EA:69:43:8A,2017-03-15 07:00:52.060000000,97.57,97.58,97.56,97.63,97.52,34.27
88:4A:EA:69:E1:72,2017-03-15 07:00:52.310000128,948.78,8.12,4.55,1.67,51.83,119.0
88:4A:EA:69:42:9B,2017-03-15 07:00:52.440000000,94.16,94.12,94.19,94.02,94.3,46.51
88:4A:EA:69:43:8A,2017-03-15 07:00:52.590000128,97.61,97.57,97.59,97.73,97.57,34.86
88:4A:EA:69:42:9B,2017-03-15 07:00:52.960000000,94.21,94.13,94.2,94.33,94.16,45.94
88:4A:EA:69:43:8A,2017-03-15 07:00:53.110000128,97.55,97.54,97.61,97.53,97.53,35.51
88:4A:EA:69:E1:72,2017-03-15 07:00:53.360000000,880.38,7.76,4.42,1.97,51.83,210.0
88:4A:EA:69:42:9B,2017-03-15 07:00:53.480000000,94.3,94.42,94.23,94.25,94.3,48.99
88:4A:EA:69:43:8A,2017-03-15 07:00:53.630000128,97.53,97.58,97.5,97.55,97.5,34.2
88:4A:EA:69:42:9B,2017-03-15 07:00:54.000000000,94.2,94.19,94.26,94.06,94.28,47.75
88:4A:EA:69:43:8A,2017-03-15 07:00:54.150000128,97.56,97.5,97.62,97.58,97.54,33.91
88:4A:EA:69:E1:72,2017-03-15 07:00:54.409999872,850.6,7.79,4.43,2.04,51.83,210.0
88:4A:EA:69:42:9B,2017-03-15 07:00:54.520000000,94.31,94.42,94.12,94.4,94.29,47.87
88:4A:EA:69:43:8A,2017-03-15 07:00:54.680000000,97.57,97.56,97.63,97.6,97.51,35.9
88:4A:EA:69:42:9B,2017-03-15 07:00:55.049999872,94.24,94.2,94.29,94.14,94.31,47.73
88:4A:EA:69:43:8A,2017-03-15 07:00:55.200000000,97.55,97.58,97.54,97.54,97.53,34.27
88:4A:EA:69:E1:72,2017-03-15 07:00:55.449999872,823.04,7.52,4.39,2.04,51.83,209.0
88:4A:EA:69:42:9B,2017-03-15 07:00:55.569999872,94.24,94.1,94.26,94.42,94.2,49.6
88:4A:EA:69:43:8A,2017-03-15 07:00:55.720000000,97.61,97.58,97.67,97.64,97.53,35.6
88:4A:EA:69:42:9B,2017-03-15 07:00:56.089999872,94.31,94.36,94.31,94.12,94.45,49.51
88:4A:EA:69:43:8A,2017-03-15 07:00:56.240000000,97.57,97.55,97.5,97.59,97.64,34.71
88:4A:EA:69:E1:72,2017-03-15 07:00:56.480000000,901.75,7.82,4.5,2.07,51.83,209.0
88:4A:EA:69:42:9B,2017-03-15 07:00:56.620000000,94.3,94.2,94.41,94.22,94.36,47.93
88:4A:EA:69:43:8A,2017-03-15 07:00:56.769999872,97.55,97.46,97.57,97.67,97.52,34.94
88:4A:EA:69:42:9B,2017-03-15 07:00:57.140000000,94.23,94.26,94.13,94.39,94.15,47.06
88:4A:EA:69:43:8A,2017-03-15 07:00:57.289999872,97.59,97.55,97.58,97.61,97.63,33.9
88:4A:EA:69:E1:72,2017-03-15 07:00:57.529999872,896.45,7.84,4.6,2.07,51.83,208.0
88:4A:EA:69:42:9B,2017-03-15 07:00:57.660000000,94.25,94.25,94.3,94.25,94.21,46.68
88:4A:EA:69:43:8A,2017-03-15 07:00:57.809999872,97.57,97.52,97.55,97.6,97.62,34.22
88:4A:EA:69:42:9B,2017-03-15 07:00:58.180000000,94.25,94.21,94.27,94.21,94.33,46.82
88:4A:EA:69:43:8A,2017-03-15 07:00:58.340000000,97.6,97.66,97.61,97.54,97.57,35.43
88:4A:EA:69:E1:72,2017-03-15 07:00:58.569999872,959.3,8.01,4.65,2.11,51.83,208.0
88:4A:EA:69:42:9B,2017-03-15 07:00:58.710000128,94.26,94.3,94.14,94.33,94.28,50.64
88:4A:EA:69:43:8A,2017-03-15 07:00:58.860000000,97.59,97.5,97.53,97.64,97.68,34.11
88:4A:EA:69:42:9B,2017-03-15 07:00:59.230000128,94.27,94.42,94.18,94.25,94.24,45.78
88:4A:EA:69:43:8A,2017-03-15 07:00:59.380000000,97.65,97.73,97.58,97.66,97.61,35.52
88:4A:EA:69:E1:72,2017-03-15 07:00:59.630000128,871.95,7.68,4.53,2.06,51.83,211.0
88:4A:EA:69:42:9B,2017-03-15 07:00:59.750000128,94.29,94.3,94.4,94.25,94.2,46.87
88:4A:EA:69:43:8A,2017-03-15 07:00:59.900000000,97.59,97.54,97.59,97.61,97.6,34.27
88:4A:EA:69:42:9B,2017-03-15 07:01:00.280000000,94.29,94.33,94.26,94.46,94.11,47.23
88:4A:EA:69:43:8A,2017-03-15 07:01:00.430000128,97.54,97.56,97.54,97.46,97.62,33.49
88:4A:EA:69:E1:72,2017-03-15 07:01:00.670000128,998.76,8.1,4.65,2.1,51.83,211.0
88:4A:EA:69:42:9B,2017-03-15 07:01:00.800000000,94.28,94.3,94.12,94.29,94.43,47.35
88:4A:EA:69:43:8A,2017-03-15 07:01:00.950000128,97.58,97.62,97.52,97.61,97.58,33.71
88:4A:EA:69:42:9B,2017-03-15 07:01:01.320000000,94.19,94.07,94.19,94.29,94.22,47.38
88:4A:EA:69:43:8A,2017-03-15 07:01:01.470000128,97.58,97.6,97.67,97.48,97.59,34.93
88:4A:EA:69:E1:72,2017-03-15 07:01:01.729999872,972.29,7.74,4.51,2.1,51.84,210.0
88:4A:EA:69:42:9B,2017-03-15 07:01:01.840000000,94.27,94.41,94.25,94.27,94.18,47.03
88:4A:EA:69:43:8A,2017-03-15 07:01:01.990000128,97.55,97.51,97.53,97.54,97.63,33.89
88:4A:EA:69:42:9B,2017-03-15 07:01:02.369999872,94.29,94.2,94.35,94.16,94.43,48.97
88:4A:EA:69:43:8A,2017-03-15 07:01:02.520000000,97.56,97.64,97.63,97.44,97.54,33.18
88:4A:EA:69:E1:72,2017-03-15 07:01:02.769999872,988.49,8.01,4.68,2.14,51.84,210.0
88:4A:EA:69:42:9B,2017-03-15 07:01:02.889999872,94.33,94.3,94.23,94.53,94.25,49.08
88:4A:EA:69:43:8A,2017-03-15 07:01:03.040000000,97.49,97.52,97.42,97.54,97.49,34.48
88:4A:EA:69:42:9B,2017-03-15 07:01:03.409999872,94.22,94.27,94.16,94.19,94.27,49.06
88:4A:EA:69:43:8A,2017-03-15 07:01:03.560000000,97.56,97.57,97.53,97.56,97.58,33.51
88:4A:EA:69:E1:72,2017-03-15 07:01:03.820000000,947.88,7.87,4.74,2.17,51.84,209.0
88:4A:EA:69:42:9B,2017-03-15 07:01:03.929999872,94.27,94.09,94.33,94.43,94.21,52.73
88:4A:EA:69:43:8A,2017-03-15 07:01:04.080000000,97.62,97.63,97.67,97.6,97.59,34.1
88:4A:EA:69:42:9B,2017-03-15 07:01:04.460000000,94.29,94.42,94.14,94.26,94.35,51.03
88:4A:EA:69:43:8A,2017-03-15 07:01:04.609999872,97.58,97.64,97.55,97.5,97.62,35.29
88:4A:EA:69:E1:72,2017-03-15 07:01:04.830000128,1075.21,8.08,4.66,2.12,51.84,209.0
88:4A:EA:69:42:9B,2017-03-15 07:01:04.980000000,94.29,94.29,94.32,94.1,94.44,50.36
88:4A:EA:69:43:8A,2017-03-15 07:01:05.129999872,97.57,97.67,97.59,97.56,97.47,36.4
88:4A:EA:69:42:9B,2017-03-15 07:01:05.500000000,94.3,94.27,94.32,94.37,94.26,48.3
88:4A:EA:69:43:8A,2017-03-15 07:01:05.649999872,97.62,97.62,97.59,97.6,97.68,34.0
88:4A:EA:69:E1:72,2017-03-15 07:01:05.920000000,949.24,7.85,4.71,2.13,51.84,208.0
88:4A:EA:69:42:9B,2017-03-15 07:01:06.020000000,94.27,94.26,94.13,94.43,94.27,45.31
88:4A:EA:69:43:8A,2017-03-15 07:01:06.180000000,97.59,97.63,97.62,97.54,97.59,33.76
88:4A:EA:69:42:9B,2017-03-15 07:01:06.550000128,94.23,94.29,94.27,94.13,94.23,46.72
88:4A:EA:69:43:8A,2017-03-15 07:01:06.700000000,97.61,97.62,97.53,97.61,97.67,33.48
88:4A:EA:69:E1:72,2017-03-15 07:01:06.940000000,985.45,7.87,4.54,1.74,51.84,119.0
88:4A:EA:69:42:9B,2017-03-15 07:01:07.070000128,94.2,94.18,94.22,94.25,94.17,45.91
88:4A:EA:69:43:8A,2017-03-15 07:01:07.220000000,97.58,97.56,97.57,97.6,97.6,33.87
88:4A:EA:69:42:9B,2017-03-15 07:01:07.590000128,94.36,94.33,94.37,94.46,94.3,47.53
88:4A:EA:69:43:8A,2017-03-15 07:01:07.740000000,97.59,97.69,97.55,97.47,97.64,35.11
88:4A:EA:69:E1:72,2017-03-15 07:01:08.020000000,1037.32,7.76,4.6,2.05,51.84,211.0
88:4A:EA:69:42:9B,2017-03-15 07:01:08.110000128,94.2,94.1,94.22,94.18,94.3,48.67
88:4A:EA:69:43:8A,2017-03-15 07:01:08.270000128,97.65,97.63,97.71,97.65,97.63,34.03
88:4A:EA:69:42:9B,2017-03-15 07:01:08.640000000,94.28,94.31,94.41,94.29,94.12,48.76
88:4A:EA:69:43:8A,2017-03-15 07:01:08.790000128,97.6,97.55,97.61,97.66,97.58,33.68
88:4A:EA:69:E1:72,2017-03-15 07:01:09.040000000,1043.23,7.97,4.71,2.12,51.84,210.0
88:4A:EA:69:42:9B,2017-03-15 07:01:09.160000000,94.28,94.31,94.25,94.14,94.42,49.38
88:4A:EA:69:43:8A,2017-03-15 07:01:09.310000128,97.62,97.54,97.77,97.47,97.68,33.91
88:4A:EA:69:42:9B,2017-03-15 07:01:09.680000000,94.27,94.14,94.36,94.21,94.39,49.73
88:4A:EA:69:43:8A,2017-03-15 07:01:09.830000128,97.61,97.63,97.59,97.59,97.64,33.61
88:4A:EA:69:E1:72,2017-03-15 07:01:10.129999872,1086.33,7.95,4.7,2.09,51.84,210.0
88:4A:EA:69:42:9B,2017-03-15 07:01:10.200000000,94.2,94.23,94.25,94.22,94.11,49.44
88:4A:EA:69:43:8A,2017-03-15 07:01:10.360000000,97.6,97.5,97.68,97.59,97.63,34.51
88:4A:EA:69:42:9B,2017-03-15 07:01:10.729999872,94.3,94.29,94.4,94.08,94.41,48.67
88:4A:EA:69:43:8A,2017-03-15 07:01:10.880000000,97.58,97.57,97.62,97.56,97.58,34.72
88:4A:EA:69:E1:72,2017-03-15 07:01:11.140000000,985.98,7.86,4.55,2.12,51.85,209.0
88:4A:EA:69:42:9B,2017-03-15 07:01:11.249999872,94.2,94.04,94.26,94.18,94.31,46.98
88:4A:EA:69:43:8A,2017-03-15 07:01:11.400000000,97.56,97.55,97.6,97.6,97.5,33.68
88:4A:EA:69:42:9B,2017-03-15 07:01:11.769999872,94.23,94.4,94.07,94.21,94.23,46.17
88:4A:EA:69:43:8A,2017-03-15 07:01:11.920000000,97.56,97.53,97.5,97.6,97.62,33.63
88:4A:EA:69:E1:72,2017-03-15 07:01:12.190000128,1140.87,7.98,4.62,2.14,51.84,209.0
88:4A:EA:69:42:9B,2017-03-15 07:01:12.300000000,94.2,94.06,94.27,94.25,94.2,46.74
88:4A:EA:69:43:8A,2017-03-15 07:01:12.449999872,97.54,97.53,97.51,97.57,97.56,34.19
88:4A:EA:69:42:9B,2017-03-15 07:01:12.820000000,94.19,94.25,94.19,94.23,94.09,47.05
88:4A:EA:69:43:8A,2017-03-15 07:01:12.969999872,97.54,97.6,97.49,97.59,97.47,33.63
88:4A:EA:69:E1:72,2017-03-15 07:01:13.209999872,1176.99,8.04,4.62,2.05,51.85,209.0
88:4A:EA:69:42:9B,2017-03-15 07:01:13.340000000,94.25,94.29,94.25,94.02,94.43,50.44
88:4A:EA:69:43:8A,2017-03-15 07:01:13.489999872,97.51,97.53,97.52,97.47,97.54,35.01
88:4A:EA:69:42:9B,2017-03-15 07:01:13.860000000,94.16,94.35,94.04,94.21,94.03,48.87
88:4A:EA:69:43:8A,2017-03-15 07:01:14.020000000,97.53,97.53,97.52,97.56,97.5,35.45
88:4A:EA:69:E1:72,2017-03-15 07:01:14.270000128,1240.27,8.28,4.68,2.09,51.85,208.0
88:4A:EA:69:42:9B,2017-03-15 07:01:14.390000128,94.3,94.28,94.04,94.37,94.5,47.68
88:4A:EA:69:43:8A,2017-03-15 07:01:14.540000000,97.58,97.48,97.64,97.65,97.55,35.18
88:4A:EA:69:42:9B,2017-03-15 07:01:14.910000128,94.2,94.28,94.24,94.1,94.19,48.89
88:4A:EA:69:43:8A,2017-03-15 07:01:15.060000000,97.54,97.47,97.49,97.58,97.63,34.8
88:4A:EA:69:E1:72,2017-03-15 07:01:15.310000128,1011.92,7.98,4.62,2.07,51.85,208.0
88:4A:EA:69:42:9B,2017-03-15 07:01:15.430000128,94.21,94.35,94.1,94.26,94.13,48.62
88:4A:EA:69:43:8A,2017-03-15 07:01:15.580000000,97.58,97.54,97.54,97.55,97.68,35.09
88:4A:EA:69:42:9B,2017-03-15 07:01:15.950000128,94.3,94.3,94.39,94.3,94.21,50.51
88:4A:EA:69:43:8A,2017-03-15 07:01:16.110000128,97.58,97.64,97.6,97.53,97.53,37.35
88:4A:EA:69:E1:72,2017-03-15 07:01:16.340000000,1141.9,8.31,4.74,2.05,51.85,211.0
88:4A:EA:69:42:9B,2017-03-15 07:01:16.480000000,94.27,94.24,94.18,94.31,94.35,50.74
88:4A:EA:69:43:8A,2017-03-15 07:01:16.630000128,97.56,97.48,97.51,97.65,97.61,34.9
88:4A:EA:69:42:9B,2017-03-15 07:01:17.000000000,94.3,94.36,94.3,94.26,94.26,49.49
88:4A:EA:69:43:8A,2017-03-15 07:01:17.150000128,97.6,97.65,97.58,97.53,97.63,36.04
88:4A:EA:69:E1:72,2017-03-15 07:01:17.409999872,998.21,7.92,4.58,2.02,51.85,211.0
88:4A:EA:69:42:9B,2017-03-15 07:01:17.520000000,94.31,94.43,94.38,94.33,94.09,47.52
88:4A:EA:69:43:8A,2017-03-15 07:01:17.670000128,97.57,97.55,97.6,97.55,97.59,35.52
88:4A:EA:69:42:9B,2017-03-15 07:01:18.040000000,94.22,94.25,94.37,94.13,94.12,47.54
88:4A:EA:69:43:8A,2017-03-15 07:01:18.200000000,97.6,97.54,97.59,97.65,97.63,34.68
88:4A:EA:69:E1:72,2017-03-15 07:01:18.489999872,1099.44,8.25,4.67,1.6,51.85,118.0
88:4A:EA:69:42:9B,2017-03-15 07:01:18.569999872,94.13,94.15,94.07,94.23,94.08,46.72
88:4A:EA:69:43:8A,2017-03-15 07:01:18.720000000,97.58,97.56,97.57,97.58,97.59,34.43
88:4A:EA:69:42:9B,2017-03-15 07:01:19.089999872,94.28,94.33,94.18,94.1,94.51,48.91
88:4A:EA:69:43:8A,2017-03-15 07:01:19.240000000,97.56,97.64,97.5,97.57,97.52,35.68
88:4A:EA:69:E1:72,2017-03-15 07:01:19.510000128,1111.51,8.01,4.57,2.07,51.85,210.0
88:4A:EA:69:42:9B,2017-03-15 07:01:19.609999872,94.16,94.09,94.16,94.13,94.26,50.66
88:4A:EA:69:43:8A,2017-03-15 07:01:19.760000000,97.56,97.54,97.54,97.62,97.55,33.95
88:4A:EA:69:42:9B,2017-03-15 07:01:20.140000000,94.21,94.31,93.97,94.24,94.32,46.57
88:4A:EA:69:43:8A,2017-03-15 07:01:20.289999872,97.64,97.65,97.71,97.57,97.64,37.08
88:4A:EA:69:E1:72,2017-03-15 07:01:20.540000000,1114.26,8.47,4.8,2.03,51.85,209.0
88:4A:EA:69:42:9B,2017-03-15 07:01:20.660000000,94.29,94.15,94.45,94.22,94.32,46.87
88:4A:EA:69:43:8A,2017-03-15 07:01:20.809999872,97.62,97.52,97.62,97.58,97.76,34.27
88:4A:EA:69:42:9B,2017-03-15 07:01:21.180000000,94.18,94.1,94.28,94.23,94.09,47.43
88:4A:EA:69:43:8A,2017-03-15 07:01:21.329999872,97.62,97.6,97.47,97.65,97.75,34.18
88:4A:EA:69:E1:72,2017-03-15 07:01:21.590000128,1097.06,8.09,4.61,2.05,51.85,209.0
88:4A:EA:69:42:9B,2017-03-15 07:01:21.700000000,94.22,94.26,94.21,94.08,94.33,49.14
88:4A:EA:69:43:8A,2017-03-15 07:01:21.860000000,97.56,97.53,97.52,97.58,97.62,34.72
88:4A:EA:69:42:9B,2017-03-15 07:01:22.230000128,94.19,94.25,94.3,94.09,94.1,49.31
88:4A:EA:69:43:8A,2017-03-15 07:01:22.380000000,97.61,97.69,97.58,97.52,97.66,34.12
88:4A:EA:69:E1:72,2017-03-15 07:01:22.609999872,1100.33,8.39,4.76,2.06,51.86,209.0
88:4A:EA:69:42:9B,2017-03-15 07:01:22.750000128,94.28,94.38,94.2,94.27,94.28,48.18
88:4A:EA:69:43:8A,2017-03-15 07:01:22.900000000,97.57,97.56,97.49,97.64,97.58,35.24
88:4A:EA:69:42:9B,2017-03-15 07:01:23.270000128,94.28,94.21,94.33,94.26,94.33,46.66
88:4A:EA:69:43:8A,2017-03-15 07:01:23.420000000,97.55,97.51,97.52,97.61,97.54,34.14
88:4A:EA:69:E1:72,2017-03-15 07:01:23.649999872,1137.16,7.96,4.51,2.04,51.85,208.0
88:4A:EA:69:42:9B,2017-03-15 07:01:23.790000128,94.21,94.19,94.11,94.36,94.19,46.3
88:4A:EA:69:43:8A,2017-03-15 07:01:23.950000128,97.58,97.55,97.53,97.65,97.59,34.61
88:4A:EA:69:42:9B,2017-03-15 07:01:24.320000000,94.27,94.14,94.35,94.28,94.3,44.7
88:4A:EA:69:43:8A,2017-03-15 07:01:24.470000128,97.53,97.52,97.56,97.59,97.45,34.54
88:4A:EA:69:E1:72,2017-03-15 07:01:24.760000000,1139.03,8.32,4.73,2.06,51.85,208.0
88:4A:EA:69:42:9B,2017-03-15 07:01:24.840000000,94.25,94.16,94.29,94.19,94.36,45.31
88:4A:EA:69:43:8A,2017-03-15 07:01:24.990000128,97.52,97.56,97.56,97.52,97.45,34.01
88:4A:EA:69:42:9B,2017-03-15 07:01:25.360000000,94.31,94.31,94.43,94.25,94.24,45.66
88:4A:EA:69:43:8A,2017-03-15 07:01:25.510000128,97.56,97.61,97.54,97.53,97.57,33.87
88:4A:EA:69:E1:72,2017-03-15 07:01:25.760000000,1151.25,8.11,4.7,2.09,51.86,211.0
88:4A:EA:69:42:9B,2017-03-15 07:01:25.889999872,94.26,94.37,94.22,94.28,94.17,48.08
88:4A:EA:69:43:8A,2017-03-15 07:01:26.040000000,97.54,97.56,97.61,97.49,97.5,35.47
88:4A:EA:69:42:9B,2017-03-15 07:01:26.409999872,94.26,94.17,94.29,94.23,94.34,47.83
88:4A:EA:69:43:8A,2017-03-15 07:01:26.560000000,97.48,97.45,97.47,97.51,97.48,34.63
88:4A:EA:69:E1:72,2017-03-15 07:01:26.809999872,1113.25,8.38,4.78,2.1,51.86,211.0
88:4A:EA:69:42:9B,2017-03-15 07:01:26.929999872,94.23,94.22,94.2,94.31,94.17,48.44
88:4A:EA:69:43:8A,2017-03-15 07:01:27.080000000,97.57,97.49,97.58,97.6,97.59,34.63
88:4A:EA:69:42:9B,2017-03-15 07:01:27.449999872,94.32,94.39,94.25,94.27,94.36,49.26
88:4A:EA:69:43:8A,2017-03-15 07:01:27.609999872,97.55,97.5,97.56,97.64,97.51,34.11
88:4A:EA:69:E1:72,2017-03-15 07:01:27.849999872,1115.51,8.04,4.7,2.09,51.86,210.0
88:4A:EA:69:42:9B,2017-03-15 07:01:27.980000000,94.25,94.21,94.38,94.22,94.17,48.7
88:4A:EA:69:43:8A,2017-03-15 07:01:28.129999872,97.48,97.43,97.5,97.46,97.56,35.18
88:4A:EA:69:42:9B,2017-03-15 07:01:28.500000000,94.29,94.33,94.21,94.4,94.24,49.04
88:4A:EA:69:43:8A,2017-03-15 07:01:28.649999872,97.53,97.55,97.53,97.62,97.42,35.78
88:4A:EA:69:E1:72,2017-03-15 07:01:28.910000128,1181.29,8.37,4.77,2.09,51.86,210.0
88:4A:EA:69:42:9B,2017-03-15 07:01:29.020000000,94.28,94.28,94.44,94.14,94.26,49.94
88:4A:EA:69:43:8A,2017-03-15 07:01:29.169999872,97.47,97.45,97.44,97.55,97.43,34.02
88:4A:EA:69:42:9B,2017-03-15 07:01:29.540000000,94.23,94.16,94.32,94.25,94.2,48.36
88:4A:EA:69:43:8A,2017-03-15 07:01:29.700000000,97.56,97.66,97.6,97.45,97.54,34.64
88:4A:EA:69:E1:72,2017-03-15 07:01:29.969999872,1266.24,8.12,4.76,2.09,51.86,209.0
88:4A:EA:69:42:9B,2017-03-15 07:01:30.070000128,94.29,94.36,94.21,94.37,94.23,48.16
88:4A:EA:69:43:8A,2017-03-15 07:01:30.220000000,97.57,97.62,97.6,97.46,97.6,34.34
88:4A:EA:69:42:9B,2017-03-15 07:01:30.590000128,94.27,94.49,94.35,94.09,94.16,47.09
88:4A:EA:69:43:8A,2017-03-15 07:01:30.740000000,97.55,97.63,97.59,97.49,97.47,33.54
88:4A:EA:69:E1:72,2017-03-15 07:01:30.980000000,1220.23,8.44,4.91,2.1,51.86,209.0
88:4A:EA:69:42:9B,2017-03-15 07:01:31.110000128,94.3,94.29,94.22,94.44,94.27,46.35
88:4A:EA:69:43:8A,2017-03-15 07:01:31.260000000,97.56,97.64,97.56,97.48,97.57,33.82
88:4A:EA:69:42:9B,2017-03-15 07:01:31.640000000,94.27,94.32,94.18,94.26,94.3,49.06
88:4A:EA:69:43:8A,2017-03-15 07:01:31.790000128,97.61,97.62,97.59,97.6,97.61,35.16
88:4A:EA:69:E1:72,2017-03-15 07:01:32.060000000,1169.61,8.15,4.86,2.2,51.86,208.0
88:4A:EA:69:42:9B,2017-03-15 07:01:32.160000000,94.1,94.02,94.24,94.07,94.08,46.2
88:4A:EA:69:43:8A,2017-03-15 07:01:32.310000128,97.58,97.55,97.58,97.65,97.55,35.54
88:4A:EA:69:42:9B,2017-03-15 07:01:32.680000000,94.33,94.42,94.37,94.17,94.36,46.88
88:4A:EA:69:43:8A,2017-03-15 07:01:32.830000128,97.57,97.45,97.64,97.6,97.58,34.66
88:4A:EA:69:E1:72,2017-03-15 07:01:33.110000128,1243.43,8.41,4.91,2.08,51.86,208.0
88:4A:EA:69:42:9B,2017-03-15 07:01:33.200000000,94.26,94.22,94.18,94.36,94.28,46.8
88:4A:EA:69:43:8A,2017-03-15 07:01:33.350000128,97.56,97.57,97.63,97.49,97.56,33.93
88:4A:EA:69:42:9B,2017-03-15 07:01:33.729999872,94.16,94.18,94.03,94.26,94.17,47.43
88:4A:EA:69:43:8A,2017-03-15 07:01:34.020000000,97.54,97.65,97.45,97.49,97.59,34.65
88:4A:EA:69:E1:72,2017-03-15 07:01:34.129999872,1134.53,8.04,4.79,2.14,51.86,208.0
88:4A:EA:69:42:9B,2017-03-15 07:01:34.249999872,94.26,94.38,94.28,94.12,94.25,50.15
88:4A:EA:69:43:8A,2017-03-15 07:01:34.550000128,97.56,97.55,97.58,97.59,97.51,36.49
88:4A:EA:69:42:9B,2017-03-15 07:01:34.769999872,94.24,94.31,94.25,94.22,94.19,51.14
88:4A:EA:69:43:8A,2017-03-15 07:01:35.070000128,97.5,97.53,97.54,97.54,97.41,36.61
88:4A:EA:69:E1:72,2017-03-15 07:01:35.209999872,1195.58,8.41,4.96,2.2,51.86,211.0
88:4A:EA:69:42:9B,2017-03-15 07:01:35.289999872,94.23,94.3,94.17,94.28,94.19,46.67
88:4A:EA:69:43:8A,2017-03-15 07:01:35.590000128,97.52,97.59,97.47,97.5,97.51,38.66
88:4A:EA:69:42:9B,2017-03-15 07:01:35.820000000,94.3,94.47,94.27,94.24,94.21,45.73
88:4A:EA:69:43:8A,2017-03-15 07:01:36.120000000,97.46,97.51,97.4,97.5,97.43,34.48
88:4A:EA:69:E1:72,2017-03-15 07:01:36.270000128,1251.66,8.14,4.82,2.15,51.86,211.0
88:4A:EA:69:42:9B,2017-03-15 07:01:36.340000000,94.21,94.16,94.25,94.23,94.19,47.75
88:4A:EA:69:43:8A,2017-03-15 07:01:36.640000000,97.49,97.4,97.53,97.53,97.51,33.9
88:4A:EA:69:42:9B,2017-03-15 07:01:36.860000000,94.3,94.27,94.21,94.49,94.23,46.96
88:4A:EA:69:43:8A,2017-03-15 07:01:37.160000000,97.53,97.6,97.5,97.53,97.5,33.82
88:4A:EA:69:E1:72,2017-03-15 07:01:37.310000128,1235.23,8.58,5.03,2.17,51.87,210.0
88:4A:EA:69:42:9B,2017-03-15 07:01:37.380000000,94.24,94.3,94.23,94.17,94.24,51.08
88:4A:EA:69:43:8A,2017-03-15 07:01:37.680000000,97.56,97.52,97.59,97.56,97.57,35.35
88:4A:EA:69:42:9B,2017-03-15 07:01:37.910000128,94.26,94.22,94.35,94.26,94.22,50.33
88:4A:EA:69:43:8A,2017-03-15 07:01:38.209999872,97.52,97.49,97.56,97.62,97.39,34.19
88:4A:EA:69:E1:72,2017-03-15 07:01:38.320000000,1213.84,8.17,4.93,2.12,51.87,210.0
88:4A:EA:69:42:9B,2017-03-15 07:01:38.430000128,94.22,94.3,94.21,94.36,94.02,46.87
88:4A:EA:69:43:8A,2017-03-15 07:01:38.729999872,97.49,97.45,97.54,97.49,97.49,36.98
88:4A:EA:69:42:9B,2017-03-15 07:01:38.950000128,94.16,94.04,94.25,94.1,94.23,47.18
88:4A:EA:69:43:8A,2017-03-15 07:01:39.249999872,97.49,97.45,97.45,97.56,97.5,33.62
88:4A:EA:69:E1:72,2017-03-15 07:01:39.380000000,1210.66,8.33,4.83,2.1,51.87,210.0
88:4A:EA:69:42:9B,2017-03-15 07:01:39.480000000,94.21,94.09,94.22,94.34,94.17,47.56
88:4A:EA:69:43:8A,2017-03-15 07:01:39.769999872,97.51,97.58,97.52,97.42,97.53,33.88
88:4A:EA:69:42:9B,2017-03-15 07:01:40.000000000,94.23,94.33,94.08,94.2,94.3,47.63
88:4A:EA:69:43:8A,2017-03-15 07:01:40.300000000,97.5,97.4,97.47,97.54,97.58,34.82
88:4A:EA:69:E1:72,2017-03-15 07:01:40.390000128,1295.65,8.19,4.85,2.18,51.87,209.0
88:4A:EA:69:42:9B,2017-03-15 07:01:40.520000000,94.21,94.04,94.44,94.15,94.22,46.55
88:4A:EA:69:43:8A,2017-03-15 07:01:40.820000000,97.54,97.49,97.5,97.59,97.56,35.09
88:4A:EA:69:42:9B,2017-03-15 07:01:41.040000000,94.27,94.33,94.31,94.31,94.14,44.44
88:4A:EA:69:43:8A,2017-03-15 07:01:41.340000000,97.52,97.59,97.55,97.48,97.47,34.52
88:4A:EA:69:E1:72,2017-03-15 07:01:41.440000000,1335.42,8.45,4.86,2.2,51.87,209.0
88:4A:EA:69:42:9B,2017-03-15 07:01:41.569999872,94.22,94.14,94.35,94.13,94.26,44.84
88:4A:EA:69:43:8A,2017-03-15 07:01:41.860000000,97.5,97.5,97.51,97.51,97.48,34.07
88:4A:EA:69:42:9B,2017-03-15 07:01:42.089999872,94.23,94.29,94.22,94.27,94.15,45.31
88:4A:EA:69:43:8A,2017-03-15 07:01:42.390000128,97.5,97.37,97.57,97.57,97.48,39.81
88:4A:EA:69:E1:72,2017-03-15 07:01:42.489999872,1384.99,8.57,4.93,2.17,51.87,208.0
