device,timestamp,Feature_Value_0,Feature_Value_1,Feature_Value_2,Feature_Value_3,Feature_Value_4,Feature_Value_5
88:4A:EA:69:43:8A,2017-03-15 07:00:11.200000000,97.68,97.63,97.77,97.62,97.72,36.14
88:4A:EA:69:42:9B,2017-03-15 07:00:11.510000128,94.22,94.24,94.2,94.21,94.24,47.8
88:4A:EA:69:E1:72,2017-03-15 07:00:11.569999872,1189.12,8.06,4.52,2.13,51.81,211.0
88:4A:EA:69:43:8A,2017-03-15 07:00:11.720000000,97.62,97.58,97.65,97.67,97.58,35.79
88:4A:EA:69:42:9B,2017-03-15 07:00:12.040000000,97.05,94.23,94.25,101.16,98.54,53.23
88:4A:EA:69:43:8A,2017-03-15 07:00:12.240000000,97.66,97.69,97.68,97.69,97.57,35.6
88:4A:EA:69:42:9B,2017-03-15 07:00:12.560000000,97.89,95.03,104.87,96.61,95.07,54.26
88:4A:EA:69:E1:72,2017-03-15 07:00:12.620000000,1228.14,8.49,4.73,2.09,51.81,210.0
88:4A:EA:69:43:8A,2017-03-15 07:00:12.760000000,97.63,97.62,97.65,97.64,97.59,35.66
88:4A:EA:69:42:9B,2017-03-15 07:00:13.080000000,95.09,96.54,94.88,94.45,94.51,50.87
88:4A:EA:69:43:8A,2017-03-15 07:00:13.289999872,97.68,97.63,97.64,97.88,97.55,36.7
88:4A:EA:69:42:9B,2017-03-15 07:00:13.600000000,94.22,94.25,94.35,93.97,94.29,49.2
88:4A:EA:69:E1:72,2017-03-15 07:00:13.660000000,1258.32,8.32,4.63,2.43,51.81,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:13.809999872,97.63,97.59,97.64,97.69,97.6,36.95
88:4A:EA:69:42:9B,2017-03-15 07:00:14.129999872,94.32,94.28,94.23,94.5,94.25,49.8
88:4A:EA:69:43:8A,2017-03-15 07:00:14.329999872,97.58,97.67,97.48,97.55,97.61,36.23
88:4A:EA:69:42:9B,2017-03-15 07:00:14.649999872,94.29,94.46,94.17,94.26,94.27,51.11
88:4A:EA:69:E1:72,2017-03-15 07:00:14.710000128,1185.35,8.55,4.81,2.06,51.81,208.0
88:4A:EA:69:43:8A,2017-03-15 07:00:14.849999872,97.64,97.61,97.71,97.72,97.53,35.76
88:4A:EA:69:42:9B,2017-03-15 07:00:15.169999872,94.3,94.32,94.31,94.3,94.26,50.05
88:4A:EA:69:43:8A,2017-03-15 07:00:15.380000000,97.55,97.48,97.56,97.58,97.58,36.65
88:4A:EA:69:42:9B,2017-03-15 07:00:15.689999872,97.14,94.38,97.65,100.75,95.79,53.51
88:4A:EA:69:E1:72,2017-03-15 07:00:15.760000000,1066.08,8.03,4.59,2.1,51.81,208.0
88:4A:EA:69:43:8A,2017-03-15 07:00:15.900000000,97.59,97.54,97.58,97.64,97.59,35.38
88:4A:EA:69:42:9B,2017-03-15 07:00:16.220000000,99.1,106.73,97.44,95.37,96.87,55.19
88:4A:EA:69:43:8A,2017-03-15 07:00:16.420000000,97.6,97.55,97.64,97.59,97.62,35.3
88:4A:EA:69:42:9B,2017-03-15 07:00:16.740000000,94.7,94.94,94.63,94.64,94.58,50.16
88:4A:EA:69:E1:72,2017-03-15 07:00:16.750000128,1207.95,8.27,4.54,2.09,51.81,211.0
88:4A:EA:69:43:8A,2017-03-15 07:00:16.950000128,97.57,97.57,97.51,97.63,97.59,36.57
88:4A:EA:69:42:9B,2017-03-15 07:00:17.260000000,94.33,94.25,94.49,94.29,94.27,47.32
88:4A:EA:69:43:8A,2017-03-15 07:00:17.470000128,97.58,97.59,97.58,97.58,97.58,36.15
88:4A:EA:69:42:9B,2017-03-15 07:00:17.790000128,94.38,94.32,94.24,94.44,94.54,50.04
88:4A:EA:69:E1:72,2017-03-15 07:00:17.830000128,1161.5,8.08,4.56,2.06,51.81,210.0
88:4A:EA:69:43:8A,2017-03-15 07:00:17.990000128,97.62,97.73,97.52,97.64,97.58,35.6
88:4A:EA:69:42:9B,2017-03-15 07:00:18.310000128,94.45,94.52,94.37,94.48,94.43,49.96
88:4A:EA:69:43:8A,2017-03-15 07:00:18.510000128,97.57,97.58,97.52,97.68,97.5,35.91
88:4A:EA:69:42:9B,2017-03-15 07:00:18.830000128,94.34,94.23,94.42,94.46,94.25,49.18
88:4A:EA:69:E1:72,2017-03-15 07:00:18.870000128,1169.24,8.08,4.48,2.09,51.81,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:19.040000000,97.64,97.65,97.65,97.58,97.69,37.48
88:4A:EA:69:42:9B,2017-03-15 07:00:19.350000128,94.34,94.4,94.3,94.41,94.25,50.21
88:4A:EA:69:43:8A,2017-03-15 07:00:19.560000000,97.61,97.65,97.55,97.53,97.71,35.12
88:4A:EA:69:42:9B,2017-03-15 07:00:19.880000000,94.32,94.31,94.41,94.13,94.43,49.87
88:4A:EA:69:E1:72,2017-03-15 07:00:19.910000128,1212.92,8.09,4.62,2.08,51.81,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:20.080000000,97.64,97.72,97.6,97.6,97.65,35.11
88:4A:EA:69:42:9B,2017-03-15 07:00:20.400000000,94.4,94.6,94.33,94.42,94.25,49.47
88:4A:EA:69:43:8A,2017-03-15 07:00:20.600000000,97.61,97.52,97.73,97.59,97.58,35.44
88:4A:EA:69:42:9B,2017-03-15 07:00:20.920000000,94.39,94.52,94.29,94.31,94.44,50.96
88:4A:EA:69:E1:72,2017-03-15 07:00:20.960000000,1063.81,8.11,4.59,2.11,51.81,208.0
88:4A:EA:69:43:8A,2017-03-15 07:00:21.129999872,97.6,97.62,97.58,97.59,97.61,35.29
88:4A:EA:69:42:9B,2017-03-15 07:00:21.440000000,94.32,94.17,94.46,94.44,94.22,50.24
88:4A:EA:69:43:8A,2017-03-15 07:00:21.649999872,97.67,97.65,97.68,97.73,97.63,36.4
88:4A:EA:69:42:9B,2017-03-15 07:00:21.969999872,94.26,94.32,94.32,94.29,94.11,50.08
88:4A:EA:69:E1:72,2017-03-15 07:00:22.009999872,1253.36,8.19,4.58,2.15,51.81,211.0
88:4A:EA:69:43:8A,2017-03-15 07:00:22.169999872,97.59,97.66,97.62,97.62,97.48,35.2
88:4A:EA:69:42:9B,2017-03-15 07:00:22.489999872,94.45,94.55,94.6,94.22,94.44,53.97
88:4A:EA:69:43:8A,2017-03-15 07:00:22.689999872,97.62,97.73,97.61,97.58,97.58,36.29
88:4A:EA:69:42:9B,2017-03-15 07:00:23.009999872,94.27,94.19,94.38,94.18,94.35,49.67
88:4A:EA:69:E1:72,2017-03-15 07:00:23.030000128,1084.51,7.97,4.51,2.1,51.81,211.0
88:4A:EA:69:43:8A,2017-03-15 07:00:23.220000000,97.6,97.66,97.61,97.45,97.65,37.84
88:4A:EA:69:42:9B,2017-03-15 07:00:23.529999872,94.39,94.39,94.25,94.49,94.43,49.89
88:4A:EA:69:43:8A,2017-03-15 07:00:23.740000000,97.56,97.46,97.6,97.61,97.56,35.38
88:4A:EA:69:42:9B,2017-03-15 07:00:24.060000000,94.31,94.14,94.38,94.31,94.43,48.73
88:4A:EA:69:E1:72,2017-03-15 07:00:24.110000128,1080.06,8.36,4.63,2.17,51.81,210.0
88:4A:EA:69:43:8A,2017-03-15 07:00:24.260000000,97.64,97.69,97.63,97.64,97.59,34.76
88:4A:EA:69:42:9B,2017-03-15 07:00:24.580000000,94.32,94.36,94.17,94.65,94.09,48.11
88:4A:EA:69:43:8A,2017-03-15 07:00:24.790000128,97.63,97.61,97.68,97.65,97.56,35.72
